State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Mizoram,Champhai,"D.T.O Office Building, Kahrawt veng",731,ES,Hill station,103,3,109,25,8,48,23,4,Low
Mizoram,Champhai,"Lalzidinga building, Vengthlang",732,ES,Hill station,100,29,433,99,44,184,67,35,Critical
Nagaland,Dimapur,Bank Colony,317,RIRuO,NA,76,15,186,76,27,142,46,36,High
Nagaland,Dimapur,Dhobinala,448,RIRuO,NA,63,27,193,103,44,168,49,48,Critical
Nagaland,Kohima,Opposite NST Office,609,ES,Hill station,83,23,132,64,34,105,27,12,High
Nagaland,Kohima,Opposite War Cemetery,610,ES,Hill station,80,22,164,99,70,126,26,50,Critical
Orissa,Angul,Industrial Estate,70,RIRuO,NA,103,57,187,121,74,156,31,75,Critical
Orissa,Angul,NALCO Township,231,RIRuO,NA,103,36,142,91,62,113,21,35,Critical
Orissa,Balasore,Sahadevkhunta,428,RIRuO,NA,105,44,102,78,59,95,14,2,High
Orissa,Balasore,DIC office,689,RIRuO,NA,77,55,95,77,65,88,9,0,High
Orissa,Balasore,Rasalpur near Balgopalpur I/A,690,RIRuO,NA,24,75,110,90,77,104,11,21,Null
Orissa,Berhampur,Regional Office Orissa SPCB,429,RIRuO,NA,107,38,188,80,50,120,30,23,High
Orissa,Bhubneshwar,Capital Police Station,424,RIRuO,NA,93,23,239,98,32,176,56,41,Critical
Orissa,Bhubneshwar,IRC Village,423,RIRuO,NA,100,16,240,77,24,124,41,24,High
Orissa,Bhubneshwar,SPCB Building,322,RIRuO,NA,91,14,209,76,25,156,53,26,High
Orissa,Bhubneshwar,"Water works, Palasuni, Rasalgarh",687,RIRuO,NA,96,17,226,73,29,142,47,26,High
Orissa,Bhubneshwar,"Patrapara, Khandagiri",686,RIRuO,NA,91,9,209,80,27,144,47,36,High
Orissa,Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,NA,63,38,153,78,45,116,29,33,High
Orissa,Cuttack,"R.O. Cuttack Office, Surya Vihar",425,RIRuO,NA,36,37,87,57,42,73,13,0,Null
Orissa,Rayagada,Regional Office Orissa SPCB,228,RIRuO,NA,104,12,70,49,33,64,12,0,Moderate
Orissa,Rayagada,"LPS High School, Jaykaypur",229,RIRuO,NA,104,14,84,59,26,75,17,0,Moderate
Orissa,Rourkela,"Regional Office, ORPB",370,RIRuO,NA,105,78,126,99,86,113,11,45,Critical
Orissa,Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,NA,105,42,124,97,76,111,16,57,Critical
Orissa,Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,NA,112,36,71,53,42,64,8,0,Moderate
Orissa,Talcher,Coal Field Area,471,RIRuO,NA,47,61,163,122,100,148,20,89,Null
Orissa,Talcher,T.T.P.S.Colony,68,RIRuO,NA,103,33,186,110,60,144,33,70,Critical
Orissa,Kalinga Nagar,Over the Guest House of M/s NINL,684,RIRuO,NA,8,28,81,52,32,74,18,0,Null
Punjab,Amritsar,R.O. Focal Point,487,RIRuO,NA,22,174,256,194,178,224,22,100,Null
Punjab,Amritsar,"A-1,Platers",486,RIRuO,NA,41,106,465,210,165,247,57,100,Null
